Time(Minutes);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;System initialization completed.
0;--;--;--;--;Object 'Mota[1]' created.
0;Mota[1];Mota[1];0.OnCreated;[Begin];Process 'Mota[1].OnCreated' execution started.
0;Mota[1];Mota[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Mota[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Mota[1];Mota[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Mota[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Mota[1];Mota[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Mota[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Mota[1];Mota[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Mota[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Mota[1];Mota[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Mota[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Mota[1];Mota[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Mota[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Mota[1];Mota[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Mota[1].HomeNode' the value 'LevarDeMota'. Previous value was 'Nothing'.
0;Mota[1];Mota[1];0.OnCreated;[End];Process 'Mota[1].OnCreated' execution ended.
0;--;--;--;--;Object 'Pizzaiolo[1]' created.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Begin];Process 'Pizzaiolo[1].OnCreated' execution started.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Pizzaiolo[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Pizzaiolo[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Pizzaiolo[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Pizzaiolo[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Pizzaiolo[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Pizzaiolo[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Pizzaiolo[1].HomeNode' the value 'PtMesa'. Previous value was 'Nothing'.
0;Pizzaiolo[1];Pizzaiolo[1];0.OnCreated;[End];Process 'Pizzaiolo[1].OnCreated' execution ended.
0;Caixa;Caixa;0.OnRunInitialized;[Begin];Process 'Caixa.OnRunInitialized' execution started.
0;Caixa;Caixa;0.OnRunInitialized;[Create] Entities;Creating '1' object(s) of entity type 'P_Caixa' using creation method 'NewObject'.
0;--;--;--;--;Object 'P_Caixa.61' created.
0;P_Caixa.61;Caixa;1.OnRunInitialized;[Transfer] ToProcessing;Entity 'P_Caixa.61' transferring from '[FreeSpace] Caixa' into station 'Caixa.Processing'.
0;Caixa;Caixa;0.OnRunInitialized;[End];Process 'Caixa.OnRunInitialized' execution ended.
0;CombinerCaixaPizza;CombinerCaixaPizza;0.OnRunInitialized;[Begin];Process 'CombinerCaixaPizza.OnRunInitialized' execution started.
0;CombinerCaixaPizza;CombinerCaixaPizza;0.OnRunInitialized;[Decide] IfOffShift;Token branching on condition 'ResourceState==List.ResourceStateName.OffShift'.
0;CombinerCaixaPizza;CombinerCaixaPizza;0.OnRunInitialized;[Decide] IfOffShift;Token sent to 'False' exit.
0;CombinerCaixaPizza;CombinerCaixaPizza;0.OnRunInitialized;[End];Process 'CombinerCaixaPizza.OnRunInitialized' execution ended.
0;CombinerClienteBalcao;CombinerClienteBalcao;0.OnRunInitialized;[Begin];Process 'CombinerClienteBalcao.OnRunInitialized' execution started.
0;CombinerClienteBalcao;CombinerClienteBalcao;0.OnRunInitialized;[Decide] IfOffShift;Token branching on condition 'ResourceState==List.ResourceStateName.OffShift'.
0;CombinerClienteBalcao;CombinerClienteBalcao;0.OnRunInitialized;[Decide] IfOffShift;Token sent to 'False' exit.
0;CombinerClienteBalcao;CombinerClienteBalcao;0.OnRunInitialized;[End];Process 'CombinerClienteBalcao.OnRunInitialized' execution ended.
0;Mota[1];Mota[1];0.OnRunInitialized;[Begin];Process 'Mota[1].OnRunInitialized' execution started.
0;Mota[1];Mota[1];0.OnRunInitialized;[Park] AtInitialNode;Entity 'Mota[1]' transferring from '[FreeSpace] Model' into station 'LevarDeMota.ParkingStation'.
0;Mota[1];LevarDeMota;3.OnEnteredParking;[Begin];Process 'LevarDeMota.OnEnteredParking' execution started.
0;Mota[1];LevarDeMota;3.OnEnteredParking;[EndTransfer] EndTransfer;Entity 'Mota[1]' ending transfer into station 'LevarDeMota.ParkingStation'.
0;Mota[1];LevarDeMota;3.OnEnteredParking;[End];Process 'LevarDeMota.OnEnteredParking' execution ended.
0;CombinerPedidoCasa;CombinerPedidoCasa;3.OnRunInitialized;[Begin];Process 'CombinerPedidoCasa.OnRunInitialized' execution started.
0;CombinerPedidoCasa;CombinerPedidoCasa;3.OnRunInitialized;[Decide] IfOffShift;Token branching on condition 'ResourceState==List.ResourceStateName.OffShift'.
0;CombinerPedidoCasa;CombinerPedidoCasa;3.OnRunInitialized;[Decide] IfOffShift;Token sent to 'False' exit.
0;CombinerPedidoCasa;CombinerPedidoCasa;3.OnRunInitialized;[End];Process 'CombinerPedidoCasa.OnRunInitialized' execution ended.
0;Pizzaiolo[1];Pizzaiolo[1];3.OnRunInitialized;[Begin];Process 'Pizzaiolo[1].OnRunInitialized' execution started.
0;Pizzaiolo[1];Pizzaiolo[1];3.OnRunInitialized;[Park] AtInitialNode;Entity 'Pizzaiolo[1]' transferring from '[FreeSpace] Model' into station 'PtMesa.ParkingStation'.
0;Pizzaiolo[1];PtMesa;4.OnEnteredParking;[Begin];Process 'PtMesa.OnEnteredParking' execution started.
0;Pizzaiolo[1];PtMesa;4.OnEnteredParking;[EndTransfer] EndTransfer;Entity 'Pizzaiolo[1]' ending transfer into station 'PtMesa.ParkingStation'.
0;Pizzaiolo[1];PtMesa;4.OnEnteredParking;[End];Process 'PtMesa.OnEnteredParking' execution ended.
0;P_Caixa.61;Caixa;2.OnEnteredProcessing;[Begin];Process 'Caixa.OnEnteredProcessing' execution started.
0;P_Caixa.61;Caixa;2.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'P_Caixa.61' ending transfer into station 'Caixa.Processing'.
0;P_Caixa.61;Caixa;2.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'P_Caixa.61' transferring from '[Station] Caixa.Processing' into station 'Caixa.OutputBuffer'.
0;Mota[1];Mota[1];0.OnRunInitialized;[Decide] IfOnShift;Token branching on condition 'ResourceState!=List.ResourceStateName.OffShift'.
0;Mota[1];Mota[1];0.OnRunInitialized;[Decide] IfOnShift;Token sent to 'True' exit.
0;Mota[1];Mota[1];0.OnRunInitialized;[PlanVisit] InitialMoveOrTransportRequests;Entity 'Mota[1]' searching 'Model.Global.VisitRequestQueue' which contains '0' request(s).
0;Mota[1];Mota[1];0.OnRunInitialized;[PlanVisit] InitialMoveOrTransportRequests;Entity 'Mota[1]' failed to find and plan an eligible visit request.
0;Mota[1];Mota[1];0.OnRunInitialized;[End];Process 'Mota[1].OnRunInitialized' execution ended.
0;Pizzaiolo[1];Pizzaiolo[1];3.OnRunInitialized;[Decide] IfOnShift;Token branching on condition 'ResourceState!=List.ResourceStateName.OffShift'.
0;Pizzaiolo[1];Pizzaiolo[1];3.OnRunInitialized;[Decide] IfOnShift;Token sent to 'True' exit.
0;Pizzaiolo[1];Pizzaiolo[1];3.OnRunInitialized;[PlanVisit] InitialMoveOrTransportRequests;Entity 'Pizzaiolo[1]' searching 'Model.Global.VisitRequestQueue' which contains '0' request(s).
0;Pizzaiolo[1];Pizzaiolo[1];3.OnRunInitialized;[PlanVisit] InitialMoveOrTransportRequests;Entity 'Pizzaiolo[1]' failed to find and plan an eligible visit request.
0;Pizzaiolo[1];Pizzaiolo[1];3.OnRunInitialized;[End];Process 'Pizzaiolo[1].OnRunInitialized' execution ended.
0;P_Caixa.61;Caixa;1.OnRunInitialized;[End];Process 'Caixa.OnRunInitialized' execution ended.
0;P_Caixa.61;Caixa;4.OnEnteredOutputBuffer;[Begin];Process 'Caixa.OnEnteredOutputBuffer' execution started.
0;P_Caixa.61;Caixa;4.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'P_Caixa.61' ending transfer into station 'Caixa.OutputBuffer'.
0;P_Caixa.61;Caixa;4.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'P_Caixa.61' transferring from '[Station] Caixa.OutputBuffer' into node 'Output@Caixa'.
0;P_Caixa.61;Output@Caixa;1.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Caixa.OnEnteredFromAssociatedObject' execution started.
0;P_Caixa.61;Output@Caixa;1.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Caixa.Entered'.
0;P_Caixa.61;Output@Caixa;1.OnEnteredFromAssociatedObject;[Transfer] ToOutboundLink;Entity 'P_Caixa.61' transferring from '[Node] Output@Caixa' onto link 'Path7'.
0;P_Caixa.61;Path7;3.OnEntered;[Begin];Process 'Path7.OnEntered' execution started.
0;P_Caixa.61;Path7;3.OnEntered;[Assign] EntityMovementRate;Assigning state variable 'P_Caixa.61.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0;P_Caixa.61;Path7;3.OnEntered;[EndTransfer] OntoPath;Entity 'P_Caixa.61' ending transfer onto link 'Path7'.
0;P_Caixa.61;Path7;3.OnEntered;[End];Process 'Path7.OnEntered' execution ended.
0;P_Caixa.61;Caixa;2.OnEnteredProcessing;[End];Process 'Caixa.OnEnteredProcessing' execution ended.
0;P_Caixa.61;Caixa;4.OnEnteredOutputBuffer;[End];Process 'Caixa.OnEnteredOutputBuffer' execution ended.
0;P_Caixa.61;Output@Caixa;1.OnEnteredFromAssociatedObject;[End];Process 'Output@Caixa.OnEnteredFromAssociatedObject' execution ended.
0;--;--;--;--;Firing event 'Pedidos_Telefone.EntityArrivals.Event'.
0;Pedidos_Telefone;Pedidos_Telefone;1.OnEntityArrival;[Begin];Process 'Pedidos_Telefone.OnEntityArrival' execution started.
0;Pedidos_Telefone;Pedidos_Telefone;1.OnEntityArrival;[Create] Entities;Creating '1' object(s) of entity type 'P_Telefone' using creation method 'NewObject'.
0;--;--;--;--;Object 'P_Telefone.62' created.
0;P_Telefone.62;Pedidos_Telefone;4.OnEntityArrival;[Transfer] ToProcessing;Entity 'P_Telefone.62' transferring from '[FreeSpace] Pedidos_Telefone' into station 'Pedidos_Telefone.Processing'.
0;Pedidos_Telefone;Pedidos_Telefone;1.OnEntityArrival;[End];Process 'Pedidos_Telefone.OnEntityArrival' execution ended.
0;P_Telefone.62;Pedidos_Telefone;2.OnEnteredProcessing;[Begin];Process 'Pedidos_Telefone.OnEnteredProcessing' execution started.
0;P_Telefone.62;Pedidos_Telefone;2.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'P_Telefone.62' ending transfer into station 'Pedidos_Telefone.Processing'.
0;P_Telefone.62;Pedidos_Telefone;2.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'P_Telefone.62' transferring from '[Station] Pedidos_Telefone.Processing' into station 'Pedidos_Telefone.OutputBuffer'.
0;P_Telefone.62;Pedidos_Telefone;4.OnEntityArrival;[End];Process 'Pedidos_Telefone.OnEntityArrival' execution ended.
0;P_Telefone.62;Pedidos_Telefone;1.OnEnteredOutputBuffer;[Begin];Process 'Pedidos_Telefone.OnEnteredOutputBuffer' execution started.
0;P_Telefone.62;Pedidos_Telefone;1.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'P_Telefone.62' ending transfer into station 'Pedidos_Telefone.OutputBuffer'.
0;P_Telefone.62;Pedidos_Telefone;1.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'P_Telefone.62' transferring from '[Station] Pedidos_Telefone.OutputBuffer' into node 'Output@Pedidos_Telefone'.
0;P_Telefone.62;Output@Pedidos_Telefone;4.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Pedidos_Telefone.OnEnteredFromAssociatedObject' execution started.
0;P_Telefone.62;Output@Pedidos_Telefone;4.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Pedidos_Telefone.Entered'.
0;P_Telefone.62;Output@Pedidos_Telefone;4.OnEnteredFromAssociatedObject;[Execute] EnteredAddOnProcess;Executing process 'NumSequenRandomNumPedidos'.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[Begin];Process 'NumSequenRandomNumPedidos' execution started.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[Assign] NumSequencial+1;Assigning state variable 'Model.NumSequencial' the value '1'. Previous value was '0'.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[Assign] ME.Senha=NumSequencial;Assigning state variable 'P_Telefone.62.Senha' the value '1'. Previous value was '0'.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[Assign] ME.NumPizzas=Random;Assigning state variable 'P_Telefone.62.NumPizzasPorPedido' the value '2'. Previous value was '0'.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[Decide] Is.P_Telefone;Token branching on condition 'Is.P_Telefone'.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[Decide] Is.P_Telefone;Token sent to 'True' exit.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[Assign] ME.OrigPed=1;Assigning state variable 'P_Telefone.62.OrigemPedido' the value '1'. Previous value was '0'.
0;P_Telefone.62;Model;3.NumSequenRandomNumPedidos;[End];Process 'NumSequenRandomNumPedidos' execution ended.
