Time(Minutes);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@Pedidos_Telefone.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@Pedidos_Internet.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@Pedidos_Balcao.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@Caixa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Input@Atendimento.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@Atendimento.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Input@Forno.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@Forno.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'ParentInput@CombinerCaixaPizza.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'MemberInput@CombinerCaixaPizza.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@CombinerCaixaPizza.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'ParentInput@CombinerClienteBalcao.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'MemberInput@CombinerClienteBalcao.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@CombinerClienteBalcao.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Input@CasaCliente.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'ParentInput@CombinerPedidoCasa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'MemberInput@CombinerPedidoCasa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@CombinerPedidoCasa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Input@Sink1.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Input@Mesa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Output@Mesa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Pedido_Registado.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'LevarDeMota.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'PtMesa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Pedidos_Telefone.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Pedidos_Internet.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Pedidos_Balcao.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Caixa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Atendimento.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Forno.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'CombinerCaixaPizza.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'CombinerClienteBalcao.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Mota[1].OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'CasaCliente.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'CombinerPedidoCasa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Sink1.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Pizzaiolo[1].OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Mesa.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path1.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path2.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path3.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path4.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path6.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path7.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path10.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path11.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'IdaCliente.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'RegressoCliente.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path8.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path12.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path9.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'Path13.OnRunEnding'.
0;--;--;--;--;Ignoring attempt to execute disabled process 'ToForno.OnRunEnding'.

